Scenario Nickname,Scenario,Bargraph Label,"Number of ATPs, nf, ATP","Number of NAD(P)H, nf, NADH","Number of Ferredoxin (Fd), nf, Fd","Energy Density of Fuel Molecule (J molecule-1), Efuel",Molecular Weight (g),Input Solar Power (W),Total Available Electrical Power (W),Stirring Power (W),CO2 Fixation Method,Electrode to Microbe Mediator,Bio-cell Anode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Anode Half-reaction Bias Voltage (V),Bio-cell Cathode Half-reaction Thermodynamic Potential (V vs. SHE),Bio-cell Cathode Half-reaction Bias Voltage (V vs. SHE),"Bio-cell Voltage (V), ΔV2","Membrane Potential (mV), ΔVmembrane","Acceptor Voltage (V vs. SHE), Vacceptor","Menaquinone Voltage (V. vs. SHE), VQ","Mtr Complex Voltage (V vs. SHE), VMtr",Scale for Dependent Variable,Scale for Independent Variable,"Scale Up Mode (Simple, Stirring with Fixed Density, None, Diffusion with Fixed Density)"
Nickname,Scenario,BargraphLabel,ATPforFuel,NADHforFuel,FdForFuel,energyPerFuelMolecule,molecularWeightFuelMolecule,totalInputPower,totalElectricalPower,stirPower,CO2Method,Mediator,voltageCellTwoAnode,voltageCellTwoAnodeBias,voltageCellTwoCathode,voltageCellTwoCathodeBias,voltageCellTwo,voltageMembrane,vAcceptor,vQuinone,vMtr,dependentVariableScale,independentVariableScale,scaleUpMode
3-5dimethyldecane_CBB_EEU,3-5dimethyldecane_CBB_H2,3-5dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
4-6dimethyldecane_CBB_EEU,4-6dimethyldecane_CBB_H2,4-6dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2-4-6trimethyloctane_CBB_EEU,2-4-6trimethyloctane_CBB_H2,2-4-6trimethyloctane_CBB_H2,53,36,0,1.232783129E-17,156.31,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2-4-6-trimethyldecane_CBB_EEU,2-4-6-trimethyldecane_CBB_H2,2-4-6-trimethyldecane_CBB_H2,61,42,0,1.449800731E-17,184.36,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
2-4-6-8-tetramethyldecane_CBB_EEU,2-4-6-8-tetramethyldecane_CBB_H2,2-4-6-8-tetramethyldecane_CBB_H2,68,45,0,1.558309532E-17,198.39,1000,330,0,Enzymatic,EET,0.82,0.47,-0.1,0.2,1.59,"[80, 140, 270]",0.82,-0.0885,-0.1,Logarithmic,Linear,None
Pinene_CBB_H2,Pinene_CBB_H2,Pinene_CBB_H2,48,28,0,1.04E-17,136.24,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Limonene_CBB_H2,Limonene_CBB_H2,Limonene_CBB_H2,48,28,0,1.04E-17,136.24,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Geraniol_CBB_H2,Geraniol_CBB_H2,Geraniol_CBB_H2,48,28,0,1.04E-17,154.25,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Farnesene_CBB_H2,Farnesene_CBB_H2,Farnesene_CBB_H2,72,42,0,1.47E-17,204.36,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Bisabolene_CBB_H2,Bisabolene_CBB_H2,Bisabolene_CBB_H2,72,42,0,1.47E-17,204.35,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Decane_CBB_H2,Decane_CBB_H3,Decane_CBB_H4,46,33,0,1.13E-17,142.275,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Undecane_CBB_H2,Undecane_CBB_H2,Undecane_CBB_H2,47,36,0,1.23E-17,156.3,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Dodecane_CBB_H2,Dodecane_CBB_H2,Dodecane_CBB_H2,54,39,0,1.31E-17,170.325,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tridecane_CBB_H2,Tridecane_CBB_H2,Tridecane_CBB_H2,55,42,0,1.45E-17,184.35,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Tetradecane_CBB_H2,Tetradecane_CBB_H2,Tetradecane_CBB_H2,62,45,0,1.56E-17,198.375,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Pentadecane_CBB_H2,Pentadecane_CBB_H2,Pentadecane_CBB_H2,63,48,0,1.67E-17,212.4,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
Hexadecane_CBB_H2,Hexadecane_CBB_H2,Hexadecane_CBB_H2,70,51,0,1.78E-17,226.425,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methylpentane_CBB_H2,2methylpentane_CBB_H2,2methylpentane_CBB_H2,29,22,0,6.9E-18,86.18,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methylhexane_CBB_H2,2methylhexane_CBB_H2,2methylhexane_CBB_H2,31,24,0,7.99E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methylheptane_CBB_H2,2methylheptane_CBB_H2,2methylheptane_CBB_H2,37,28,0,9.08E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2methyloctane_CBB_H2,2methyloctane_CBB_H2,2methyloctane_CBB_H2,39,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylpentane_CBB_H2,3methylpentane_CBB_H2,3methylpentane_CBB_H2,30,21,0,6.91E-18,86.18,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylhexane_CBB_H2,3methylhexane_CBB_H2,3methylhexane_CBB_H2,37,24,0,8E-18,100.2,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylheptane_CBB_H2,3methylheptane_CBB_H2,3methylheptane_CBB_H2,38,27,0,9.1E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methyloctane_CBB_H2,3methyloctane_CBB_H2,3methyloctane_CBB_H2,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3methylnonane_CBB_H2,3methylnonane_CBB_H2,3methylnonane_CBB_H2,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4methyloctane_CBB_H2,4methyloctane_CBB_H2,4methyloctane_CBB_H2,45,30,0,1.02E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4methyldecane_CBB_H2,4methyldecane_CBB_H2,4methyldecane_CBB_H2,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
5methylnonane_CBB_H2,5methylnonane_CBB_H2,5methylnonane_CBB_H2,46,33,0,1.12E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
5methyldecane_CBB_H2,5methyldecane_CBB_H2,5methyldecane_CBB_H2,53,36,0,1.23E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4dimethylhexane_CBB_H2,2-4dimethylhexane_CBB_H2,2-4dimethylhexane_CBB_H2,37,27,0,9.072567253E-18,114.23,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4dimethyloctane_CBB_H2,2-4dimethyloctane_CBB_H2,2-4dimethyloctane_CBB_H2,46,33,0,1.124274327E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4dimethyldecane_CBB_H2,2-4dimethyldecane_CBB_H2,2-4dimethyldecane_CBB_H2,54,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-5dimethylheptane_CBB_H2,2-5dimethylheptane_CBB_H2,2-5dimethylheptane_CBB_H2,44,31,0,1.015765526E-17,128.26,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-5dimethylnonane_CBB_H2,2-5dimethylnonane_CBB_H2,2-5dimethylnonane_CBB_H2,52,37,0,1.232783129E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3-5dimethyloctane_CBB_H2,3-5dimethyloctane_CBB_H2,3-5dimethyloctane_CBB_H2,52,33,0,1.124274327E-17,142.28,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
3-5dimethyldecane_CBB_H2,3-5dimethyldecane_CBB_H2,3-5dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
4-6dimethyldecane_CBB_H2,4-6dimethyldecane_CBB_H2,4-6dimethyldecane_CBB_H2,60,39,0,1.34129193E-17,170.33,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6trimethyloctane_CBB_H2,2-4-6trimethyloctane_CBB_H2,2-4-6trimethyloctane_CBB_H2,53,36,0,1.232783129E-17,156.31,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6-trimethyldecane_CBB_H2,2-4-6-trimethyldecane_CBB_H2,2-4-6-trimethyldecane_CBB_H2,61,42,0,1.449800731E-17,184.36,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
2-4-6-8-tetramethyldecane_CBB_H2,2-4-6-8-tetramethyldecane_CBB_H2,2-4-6-8-tetramethyldecane_CBB_H2,68,45,0,1.558309532E-17,198.39,1000,330,0,Enzymatic,H2,0.82,0.47,-0.41,0.3,2,"[80, 140, 270]",0.82,NA,NA,Logarithmic,Linear,None
